Player,From,To,Pos,Ht,Wt,Birth Date,College,Active,Hall Of Fame
Tom Callahan,1947,1947,G,6-1,180,"June 2, 1921",Rockhurst University,False,False
Rick Calloway,1991,1991,F,6-6,180,"December 12, 1966",University of Kansas,False,False
Ernie Calverley,1947,1949,G,5-10,145,"January 30, 1924",University of Rhode Island,False,False
Mack Calvin,1970,1981,G,6-0,165,"July 27, 1947",University of Southern California,False,False
Dexter Cambridge,1993,1993,F,6-7,224,"January 29, 1970",University of Texas at Austin,False,False
Marcus Camby,1997,2013,C-F,6-11,220,"March 22, 1974",University of Massachusetts Amherst,False,False
Elden Campbell,1991,2005,C,6-11,215,"July 23, 1968",Clemson University,False,False
Tony Campbell,1985,1995,F-G,6-7,215,"May 7, 1962",Ohio State University,False,False
Isaiah Canaan,2014,2016,G,6-0,201,"May 21, 1991",Murray State University,True,False
Larry Cannon,1970,1974,G,6-4,195,"April 12, 1947",La Salle University,False,False
Clint Capela,2015,2016,C,6-10,240,"May 18, 1994",,True,False
Derrick Caracter,2011,2011,F,6-9,275,"May 4, 1988",University of Texas at El Paso,False,False
Frank Card,1969,1973,F,6-7,195,"December 28, 1944",South Carolina State University,False,False
Brian Cardinal,2001,2012,F,6-8,245,"May 2, 1977",Purdue University,False,False
Howie Carl,1962,1962,G,5-9,160,"June 7, 1938",DePaul University,False,False
Chet Carlisle,1947,1947,F-C,6-5,195,"November 2, 1916",University of California,False,False
Geno Carlisle,2005,2005,G,6-3,180,"August 13, 1976",University of California,False,False
Rick Carlisle,1985,1990,G,6-5,210,"October 27, 1959",University of Virginia,False,False
Don Carlos,1969,1969,G-F,6-5,210,"March 3, 1944",Otterbein College,False,False
Al Carlson,1976,1976,C,6-11,235,"September 17, 1951",University of Oregon,False,False
Don Carlson,1947,1951,G-F,6-0,170,"March 22, 1919",University of Minnesota,False,False
Bob Carney,1955,1955,G,6-3,170,"August 3, 1932",Bradley University,False,False
Rodney Carney,2007,2011,F,6-7,205,"April 15, 1984",University of Memphis,False,False
Bob Carpenter,1950,1951,F-C,6-5,200,"November 6, 1917",East Texas State University,False,False
Antoine Carr,1985,2000,F-C,6-9,225,"July 23, 1961",Wichita State University,False,False
Austin Carr,1972,1981,G,6-4,200,"March 10, 1948",University of Notre Dame,False,False
Chris Carr,1996,2001,G,6-5,207,"March 12, 1974",Southern Illinois University,False,False
Cory Carr,1999,1999,G,6-3,210,"December 5, 1975",Texas Tech University,False,False
Kenny Carr,1978,1987,F,6-7,220,"August 15, 1955",North Carolina State University,False,False
M.L. Carr,1976,1985,F-G,6-6,205,"January 9, 1951",Guilford College,False,False
Darel Carrier,1968,1973,G,6-3,185,"October 26, 1940",Western Kentucky University,False,False
Bob Carrington,1978,1980,G-F,6-6,195,"July 3, 1953",Boston College,False,False
DeMarre Carroll,2010,2016,F,6-8,212,"July 27, 1986",University of Missouri,True,False
Joe Barry Carroll,1981,1991,C-F,7-0,225,"July 24, 1958",Purdue University,False,False
Matt Carroll,2004,2013,G,6-6,212,"August 28, 1980",University of Notre Dame,False,False
Jimmy Carruth,1997,1997,C-F,6-10,265,"November 4, 1969",Virginia Polytechnic Institute and State University,False,False
Anthony Carter,2000,2012,G,6-1,190,"June 16, 1975",University of Hawaii,False,False
Butch Carter,1981,1986,G,6-5,180,"June 11, 1958",Indiana University,False,False
Fred Carter,1970,1977,G-F,6-3,185,"February 14, 1945",Mount St. Mary's University,False,False
George Carter,1968,1976,F-G,6-4,210,"January 10, 1944",St. Bonaventure University,False,False
Howard Carter,1984,1985,G,6-5,215,"October 26, 1961",Louisiana State University,False,False
Jake Carter,1950,1950,F-C,6-4,195,"July 25, 1924",East Texas State University,False,False
Maurice Carter,2004,2004,G,6-5,210,"October 12, 1976",Louisiana State University,False,False
Reggie Carter,1981,1982,G,6-3,175,"October 10, 1957",St. John's University,False,False
Ron Carter,1979,1980,G,6-5,190,"August 31, 1956",Virginia Military Institute,False,False
Vince Carter,1999,2016,G-F,6-6,220,"January 26, 1977",University of North Carolina,True,False
Michael Carter-Williams,2014,2016,G,6-6,190,"October 10, 1991",Syracuse University,True,False
Bill Cartwright,1980,1995,C,7-1,245,"July 30, 1957",University of San Francisco,False,False
Jay Carty,1969,1969,F,6-8,220,"July 4, 1941",Oregon State University,False,False
Cornelius Cash,1977,1977,F,6-8,215,"March 3, 1952",Bowling Green State University,False,False
Sam Cash,1973,1973,F,6-8,230,"November 13, 1950","University of California, Riverside",False,False
Sam Cassell,1994,2008,G,6-3,185,"November 18, 1969",Florida State University,False,False
Omri Casspi,2010,2016,F,6-9,225,"June 22, 1988",,True,False
Harvey Catchings,1975,1985,C-F,6-9,218,"September 2, 1951",Hardin-Simmons University,False,False
Terry Catledge,1986,1993,F,6-8,220,"August 22, 1963",University of South Alabama,False,False
Sid Catlett,1972,1972,F,6-6,230,"April 18, 1948",University of Notre Dame,False,False
Kelvin Cato,1998,2007,C,6-11,255,"August 26, 1974",Iowa State University,False,False
Bobby Cattage,1982,1986,F,6-9,250,"August 17, 1958",Auburn University,False,False
Willie Cauley-Stein,2016,2016,F-C,7-0,240,"August 18, 1993",University of Kentucky,True,False
Duane Causwell,1991,2001,C,7-0,240,"May 31, 1968",Temple University,False,False
Ron Cavenall,1985,1989,C,7-1,230,"April 30, 1959",Texas Southern University,False,False
Cedric Ceballos,1991,2001,F,6-6,190,"August 2, 1969","California State University, Fullerton",False,False
John Celestand,2000,2000,G,6-4,178,"March 6, 1977",Villanova University,False,False
Al Cervi,1950,1953,G-F,5-11,170,"February 12, 1917",,False,True
Lionel Chalmers,2005,2005,G,6-0,180,"November 10, 1980",Xavier University,False,False
Mario Chalmers,2009,2016,G,6-2,190,"May 19, 1986",University of Kansas,True,False
Bill Chamberlain,1973,1974,F,6-6,188,"December 16, 1949",University of North Carolina,False,False
Wilt Chamberlain,1960,1973,C,7-1,275,"August 21, 1936",University of Kansas,False,True
Jerry Chambers,1967,1974,F,6-5,185,"July 18, 1943",University of Utah,False,False
Tom Chambers,1982,1998,F-C,6-10,220,"June 21, 1959",University of Utah,False,False
Mike Champion,1989,1989,F,6-10,230,"April 5, 1964",Gonzaga University,False,False
Tyson Chandler,2002,2016,C,7-1,240,"October 2, 1982",,True,False
Wilson Chandler,2008,2015,F,6-8,225,"May 10, 1987",DePaul University,True,False
Don Chaney,1969,1980,G,6-5,210,"March 22, 1946",University of Houston,False,False
John Chaney,1950,1950,F-C,6-3,185,"February 29, 1920",Louisiana State University,False,False
Rex Chapman,1989,2000,G,6-4,185,"October 5, 1967",University of Kentucky,False,False
Wayne Chapman,1969,1972,G-F,6-6,190,"June 15, 1945",Western Kentucky University,False,False
Len Chappell,1963,1972,F-C,6-8,240,"January 31, 1941",Wake Forest University,False,False
Ken Charles,1974,1978,G,6-3,180,"July 10, 1951",Fordham University,False,False
Lorenzo Charles,1986,1986,F,6-7,225,"November 25, 1963",North Carolina State University,False,False
Calbert Cheaney,1994,2006,G-F,6-7,209,"July 17, 1971",Indiana University,False,False
Maurice Cheeks,1979,1993,G,6-1,180,"September 8, 1956",West Texas A&M University,False,False
Phil Chenier,1972,1981,G,6-3,180,"October 30, 1950",University of California,False,False
Will Cherry,2015,2015,G,6-0,185,"February 8, 1991",University of Montana,True,False
Derrick Chievous,1989,1991,F,6-7,195,"July 3, 1967",University of Missouri,False,False
Pete Chilcutt,1992,2000,F-C,6-10,230,"September 14, 1968",University of North Carolina,False,False
Josh Childress,2005,2014,G-F,6-8,210,"June 20, 1983",Stanford University,True,False
Randolph Childress,1996,1997,G,6-2,188,"September 21, 1972",Wake Forest University,False,False
Chris Childs,1995,2003,G,6-3,195,"November 20, 1967",Boise State University,False,False
Leroy Chollet,1950,1951,F,6-2,190,"March 5, 1925",Canisius College,False,False
Jim Chones,1973,1982,C-F,6-11,220,"November 30, 1949",Marquette University,False,False
Fred Christ,1955,1955,G,6-4,210,"August 6, 1930",Fordham University,False,False
Cal Christensen,1951,1955,F-C,6-5,210,"July 8, 1927",University of Toledo,False,False
Bob Christian,1970,1974,C,6-10,255,"May 11, 1946",Grambling State University,False,False
Doug Christie,1993,2007,G-F,6-6,200,"May 9, 1970",Pepperdine University,False,False
Dionte Christmas,2014,2014,G,6-5,205,"September 15, 1986",Temple University,True,False
Rakeem Christmas,2016,2016,F,6-9,250,"December 1, 1991",Syracuse University,True,False
Patrick Christopher,2015,2015,G-F,6-5,209,"June 3, 1988",University of California,True,False
Stephen Chubin,1968,1970,G,6-2,200,"February 8, 1944",University of Rhode Island,False,False
Robert Churchwell,1996,1996,G-F,6-6,195,"February 20, 1972",Georgetown University,False,False
Archie Clark,1967,1976,G,6-2,175,"July 15, 1941",University of Minnesota,False,False
Carlos Clark,1984,1985,G,6-4,210,"August 10, 1960",University of Mississippi,False,False
Earl Clark,2010,2015,F,6-10,225,"January 17, 1988",University of Louisville,True,False
Ian Clark,2014,2016,G,6-3,175,"March 7, 1991",Belmont University,True,False
Keon Clark,1999,2004,F,6-11,220,"April 16, 1975","University of Nevada, Las Vegas",False,False
Richard Clark,1968,1969,G,6-4,190,"January 5, 1944",Eastern Kentucky University,False,False
Coty Clarke,2016,2016,F,6-7,232,"July 4, 1992",University of Arkansas,True,False
Jordan Clarkson,2015,2016,G,6-5,185,"June 7, 1992",University of Missouri,True,False
Victor Claver,2013,2015,F,6-9,224,"August 30, 1988",,True,False
John Clawson,1969,1969,F,6-4,200,"May 15, 1944",University of Michigan,False,False
Charles Claxton,1996,1996,C,7-0,265,"December 13, 1970",University of Georgia,False,False
Speedy Claxton,2002,2009,G,5-11,166,"May 8, 1978",Hofstra University,False,False
Jim Cleamons,1972,1980,G,6-3,185,"September 13, 1949",Ohio State University,False,False
Mateen Cleaves,2001,2006,G,6-2,205,"September 7, 1977",Michigan State University,False,False
Barry Clemens,1966,1976,F,6-6,210,"May 1, 1943",Ohio Wesleyan University,False,False
Nathaniel Clifton,1951,1958,C-F,6-6,220,"October 13, 1922",Xavier University of Louisiana,False,True
Bill Closs,1950,1952,F-C,6-5,195,"January 8, 1922",Rice University,False,False
Keith Closs,1998,2000,C,7-3,212,"April 3, 1976",Central Connecticut State University,False,False
Paul Cloyd,1950,1950,G-F,6-2,180,"June 13, 1920",University of Wisconsin,False,False
Bob Cluggish,1947,1947,C,6-10,235,"September 18, 1917",University of Kentucky,False,False
Ben Clyde,1975,1975,F,6-7,198,"June 10, 1951",Florida State University,False,False
Richard Coffey,1991,1991,F,6-6,212,"September 2, 1965",University of Minnesota,False,False
Fred Cofield,1986,1987,G,6-3,190,"January 4, 1962",Eastern Michigan University,False,False
John Coker,1996,2001,C,7-0,253,"October 28, 1971",Boise State University,False,False
Norris Cole,2012,2016,G,6-2,175,"October 13, 1988",Cleveland State University,True,False
Ben Coleman,1987,1994,F,6-9,235,"November 14, 1961",University of Maryland,False,False
Derrick Coleman,1991,2005,F,6-10,230,"June 21, 1967",Syracuse University,False,False
E.C. Coleman,1974,1979,F,6-8,225,"September 25, 1950",Houston Baptist University,False,False
Jack Coleman,1950,1958,F-C,6-7,195,"May 23, 1924",University of Louisville,False,False
Norris Coleman,1988,1988,F,6-8,210,"September 27, 1961",Kansas State University,False,False
Bimbo Coles,1991,2004,G,6-1,180,"April 22, 1968",Virginia Polytechnic Institute and State University,False,False
Jason Collier,2001,2005,C,7-0,260,"September 8, 1977",Georgia Institute of Technology,False,False
Art Collins,1981,1981,G,6-4,185,"April 14, 1954",St. Thomas University,False,False
Don Collins,1981,1987,F-G,6-6,190,"November 28, 1958",Washington State University,False,False
Doug Collins,1974,1981,G-F,6-6,180,"July 28, 1951",Illinois State University,False,False
James Collins,1998,1998,G,6-4,196,"November 5, 1973",Florida State University,False,False
Jarron Collins,2002,2011,F-C,6-11,255,"December 2, 1978",Stanford University,False,False
Jason Collins,2002,2014,C,7-0,255,"December 2, 1978",Stanford University,False,False
Jimmy Collins,1971,1972,G,6-2,175,"November 24, 1946",New Mexico State University,False,False
Mardy Collins,2007,2010,G,6-6,220,"August 4, 1984",Temple University,False,False
Sherron Collins,2011,2011,G,5-11,205,"March 18, 1987",University of Kansas,False,False
Darren Collison,2010,2016,G,6-0,175,"August 23, 1987","University of California, Los Angeles",True,False
Nick Collison,2005,2016,F,6-10,255,"October 26, 1980",University of Kansas,True,False
Joe Colone,1949,1949,F,6-5,210,"January 23, 1924",Bloomsburg University of Pennsylvania,False,False
Sean Colson,2001,2001,G,6-0,175,"July 1, 1975",University of North Carolina at Charlotte,False,False
Steve Colter,1985,1995,G,6-3,165,"July 24, 1962",New Mexico State University,False,False
Glen Combs,1969,1975,G,6-2,185,"October 30, 1946",Virginia Polytechnic Institute and State University,False,False
Leroy Combs,1984,1984,F,6-8,210,"January 1, 1961",Oklahoma State University,False,False
John Comeaux,1968,1968,F,6-5,193,"September 15, 1943",Grambling State University,False,False
Dallas Comegys,1988,1989,F,6-9,205,"August 17, 1964",DePaul University,False,False
Larry Comley,1964,1964,G,6-5,210,"August 17, 1939",Kansas State University,False,False
Jeffrey Congdon,1968,1972,G,6-1,180,"October 17, 1943",Brigham Young University,False,False
Gene Conley,1953,1964,C-F,6-8,225,"November 10, 1930",Washington State University,False,False
Larry Conley,1968,1968,G,6-3,175,"January 22, 1944",University of Kentucky,False,False
Mike Conley,2008,2016,G,6-1,175,"October 11, 1987",Ohio State University,True,False
Ed Conlin,1956,1962,F-G,6-5,200,"September 2, 1933",Fordham University,False,False
Marty Conlon,1992,2000,F-C,6-10,224,"January 19, 1968",Providence College,False,False
Pat Connaughton,2016,2016,G,6-5,206,"January 6, 1993",University of Notre Dame,True,False
Jimmy Conner,1976,1976,G,6-4,190,"March 20, 1953",University of Kentucky,False,False
Lester Conner,1983,1995,G,6-4,180,"September 17, 1959",Oregon State University,False,False
Chuck Connors,1947,1948,F-C,6-5,190,"April 10, 1921",Seton Hall University,False,False
Will Conroy,2007,2013,G,6-2,195,"December 8, 1982",University of Washington,False,False
Anthony Cook,1991,1996,F-C,6-9,205,"March 19, 1967",University of Arizona,False,False
Bert Cook,1955,1955,G-F,6-3,185,"April 26, 1929",Utah State University,False,False
Bobby Cook,1950,1950,G-F,5-10,155,"April 1, 1923",University of Wisconsin,False,False
Brian Cook,2004,2012,F,6-9,234,"December 4, 1980",University of Illinois at Urbana-Champaign,False,False
Daequan Cook,2008,2013,G,6-5,205,"April 28, 1987",Ohio State University,False,False
Darwin Cook,1981,1989,G,6-3,184,"August 6, 1958",University of Portland,False,False
Jeff Cook,1980,1988,F-C,6-10,215,"October 21, 1956",Idaho State University,False,False
Norm Cook,1977,1978,F,6-8,210,"March 21, 1955",University of Kansas,False,False
Omar Cook,2004,2005,G,6-1,190,"January 28, 1982",St. John's University,False,False
David Cooke,1986,1986,F,6-8,230,"September 27, 1963",Saint Mary's College of California,False,False
Joe Cooke,1971,1971,G,6-3,175,"August 14, 1948",Indiana University,False,False
Jack Cooley,2015,2015,F,6-9,260,"April 4, 1991",University of Notre Dame,True,False
Chuck Cooper,1951,1956,F,6-5,210,"September 29, 1926",Duquesne University,False,True
Duane Cooper,1993,1994,G,6-1,185,"June 25, 1969",University of Southern California,False,False
Joe Cooper,1982,1985,C-F,6-10,230,"September 1, 1957",University of Colorado,False,False
Michael Cooper,1979,1990,G-F,6-5,170,"April 15, 1956",University of New Mexico,False,False
Wayne Cooper,1979,1992,C-F,6-10,220,"November 16, 1956",University of New Orleans,False,False
Tom Copa,1992,1992,C,6-10,275,"October 30, 1964",Marquette University,False,False
Chris Copeland,2013,2016,F,6-9,239,"March 17, 1984",University of Colorado,True,False
Hollis Copeland,1980,1982,F,6-6,180,"December 20, 1955",Rutgers University,False,False
Lanard Copeland,1990,1992,G,6-6,190,"July 16, 1965",Georgia State University,False,False
Tyrone Corbin,1986,2001,G-F,6-6,210,"December 31, 1962",DePaul University,False,False
Chris Corchiani,1992,1994,G,6-0,185,"March 28, 1968",North Carolina State University,False,False
Ken Corley,1947,1947,C,6-5,210,,Oklahoma State Teachers College,False,False
Ray Corley,1950,1953,G,6-0,180,"January 1, 1928",Georgetown University,False,False
Dave Corzine,1979,1991,C,6-11,250,"April 25, 1956",DePaul University,False,False
Larry Costello,1955,1968,G,6-1,186,"July 2, 1931",Niagara University,False,False
Bryce Cotton,2015,2016,G,6-1,165,"August 11, 1992",Providence College,True,False
Jack Cotton,1950,1950,F-C,6-7,200,"October 15, 1924",University of Wyoming,False,False
James Cotton,1998,1999,G,6-5,220,"December 14, 1975","California State University, Long Beach",False,False
John Coughran,1980,1980,F,6-7,225,"September 12, 1951",University of California,False,False
Mel Counts,1965,1976,C-F,7-0,230,"October 16, 1941",Oregon State University,False,False
Steve Courtin,1965,1965,G,6-1,188,"September 21, 1942",Saint Joseph's University,False,False
Joe Courtney,1993,1997,F,6-8,235,"October 17, 1969",University of Southern Mississippi,False,False
Marcus Cousin,2011,2011,C,6-11,245,"December 18, 1986",University of Houston,True,False
DeMarcus Cousins,2011,2016,C-F,6-11,270,"August 13, 1990",University of Kentucky,True,False
Bob Cousy,1951,1970,G,6-1,175,"August 9, 1928",College of the Holy Cross,False,True
Robert Covington,2014,2016,F,6-9,215,"December 14, 1990",Tennessee State University,True,False
Dave Cowens,1971,1983,C-F,6-9,230,"October 25, 1948",Florida State University,False,True
Chubby Cox,1983,1983,G,6-2,180,"December 29, 1955",University of San Francisco,False,False
Johnny Cox,1963,1963,G,6-4,180,"November 1, 1936",University of Kentucky,False,False
Wesley Cox,1978,1979,F,6-6,215,"January 27, 1955",University of Louisville,False,False
Allen Crabbe,2014,2016,G-F,6-6,210,"April 9, 1992",University of California,True,False
Chris Crawford,1998,2004,F,6-9,235,"May 13, 1975",Marquette University,False,False
Freddie Crawford,1967,1971,G-F,6-4,189,"December 23, 1941",St. Bonaventure University,False,False
Jamal Crawford,2001,2016,G,6-5,195,"March 20, 1980",University of Michigan,True,False
Joe Crawford,2009,2009,F,6-5,210,"June 17, 1986",University of Kentucky,False,False
Jordan Crawford,2011,2014,G,6-4,195,"October 23, 1988",Xavier University,True,False
Jim Creighton,1976,1976,F,6-8,200,"April 18, 1950",University of Colorado,False,False
Ron Crevier,1986,1986,C,7-0,235,"April 14, 1958",Boston College,False,False
Hal Crisler,1947,1947,F,6-3,215,"December 31, 1923",Iowa State University,False,False
Joe Crispin,2002,2002,G,6-0,185,"July 18, 1979",Pennsylvania State University,False,False
Charlie Criss,1978,1985,G,5-8,165,"November 6, 1948",New Mexico State University,False,False
Russell Critchfield,1969,1969,G,5-10,150,"June 27, 1946",University of California,False,False
Winston Crite,1988,1989,F,6-7,233,"June 20, 1965",Texas A&M University,False,False
Javaris Crittenton,2008,2009,G,6-5,200,"December 31, 1987",Georgia Institute of Technology,False,False
Dillard Crocker,1949,1953,F-G,6-4,205,"January 19, 1925",Western Michigan University,False,False
Bobby Croft,1971,1971,C,6-10,200,"March 17, 1946",University of Tennessee,False,False
Geoff Crompton,1979,1984,C,6-11,280,"July 4, 1955",University of North Carolina,False,False
Terry Crosby,1980,1980,G,6-4,195,"January 4, 1957",University of Tennessee,False,False
Austin Croshere,1998,2009,F,6-9,235,"May 1, 1975",Providence College,False,False
Jeff Cross,1986,1986,F,6-10,240,"September 1, 1961",University of Maine,False,False
Pete Cross,1971,1973,C-F,6-9,230,"March 28, 1948",University of San Francisco,False,False
Russell Cross,1984,1984,C,6-10,215,"September 5, 1961",Purdue University,False,False
Chink Crossin,1948,1950,G,6-1,165,"July 4, 1924",University of Pennsylvania,False,False
John Crotty,1993,2003,G,6-1,185,"July 15, 1969",University of Virginia,False,False
Bill Crow,1968,1968,G,6-1,180,"December 9, 1940",Westminster College of Utah,False,False
Mark Crow,1978,1978,F,6-7,210,"October 22, 1954",Duke University,False,False
Corey Crowder,1992,1995,G-F,6-5,214,"April 13, 1969",Kentucky Wesleyan College,False,False
Jae Crowder,2013,2016,F,6-6,235,"July 6, 1990",Marquette University,True,False
Al Cueto,1970,1971,C-F,6-7,230,"August 2, 1946",University of Tulsa,False,False
Pat Cummings,1980,1991,F-C,6-9,230,"July 11, 1956",University of Cincinnati,False,False
Terry Cummings,1983,2000,F,6-9,220,"March 15, 1961",DePaul University,False,False
Vonteego Cummings,2000,2002,G,6-3,185,"February 29, 1976",University of Pittsburgh,False,False
Billy Cunningham,1966,1976,F-C,6-6,210,"June 3, 1943",University of North Carolina,False,True
Dante Cunningham,2010,2016,F,6-8,230,"April 22, 1987",Villanova University,True,False
Dick Cunningham,1969,1975,C,6-10,245,"July 11, 1946",Murray State University,False,False
Jared Cunningham,2013,2016,G,6-4,195,"May 22, 1991",Oregon State University,True,False
William Cunningham,1998,1999,C,6-11,250,"March 25, 1974",Temple University,False,False
Radisav Curcic,1993,1993,C,6-10,275,"September 26, 1965",,False,False
Armand Cure,1947,1947,F,6-0,198,"August 1, 1919",University of Rhode Island,False,False
Earl Cureton,1981,1997,F-C,6-9,210,"September 3, 1957",University of Detroit Mercy,False,False
Bill Curley,1995,2001,F,6-9,220,"May 29, 1972",Boston College,False,False
Fran Curran,1949,1950,G,6-0,175,"September 19, 1925",University of Notre Dame,False,False
Dell Curry,1987,2002,G,6-4,190,"June 25, 1964",Virginia Polytechnic Institute and State University,False,False
Eddy Curry,2002,2013,C,7-0,295,"December 5, 1982",,False,False
JamesOn Curry,2010,2010,G,6-3,190,"January 7, 1986",Oklahoma State University,False,False
Michael Curry,1994,2005,F-G,6-5,210,"August 22, 1968",Georgia Southern University,False,False
Seth Curry,2014,2016,G,6-2,185,"August 23, 1990",Duke University,True,False
Stephen Curry,2010,2016,G,6-3,185,"March 14, 1988",Davidson College,True,False
Rastko Cvetkovic,1996,1996,C,7-1,260,"June 22, 1970",,False,False
Mike D'Antoni,1974,1977,G,6-3,185,"May 8, 1951",Marshall University,False,False
Mike Dabich,1968,1968,C,7-0,242,"December 27, 1942",New Mexico State University,False,False
Ed Dahler,1952,1952,F,6-5,190,"January 31, 1926",Duquesne University,False,False
Quintin Dailey,1983,1992,G,6-3,180,"January 22, 1961",University of San Francisco,False,False
Samuel Dalembert,2002,2015,C,6-11,255,"May 10, 1981",Seton Hall University,True,False
Howie Dallmar,1947,1949,F,6-4,200,"May 24, 1922",Stanford University,False,False
Erick Dampier,1997,2012,C,6-11,265,"July 14, 1975",Mississippi State University,False,False
Louie Dampier,1968,1979,G,6-0,170,"November 20, 1944",University of Kentucky,False,True
Bob Dandridge,1970,1982,F-G,6-6,195,"November 15, 1947",Norfolk State University,False,False
Antonio Daniels,1998,2011,G,6-4,195,"March 19, 1975",Bowling Green State University,False,False
Erik Daniels,2005,2005,F,6-8,214,"April 1, 1982",University of Kentucky,False,False
Lloyd Daniels,1993,1998,G,6-7,205,"September 4, 1967",Mount San Antonio College,False,False
Marquis Daniels,2004,2013,G-F,6-6,200,"January 7, 1981",Auburn University,False,False
Mel Daniels,1968,1977,C,6-9,220,"July 20, 1944",University of New Mexico,False,True
Troy Daniels,2014,2016,G,6-4,205,"July 15, 1991",Virginia Commonwealth University,True,False
Sasha Danilovic,1996,1997,G,6-5,200,"February 26, 1970",,False,False
Adrian Dantley,1977,1991,F-G,6-5,208,"February 28, 1956",University of Notre Dame,False,True
Pete Darcey,1953,1953,C,6-7,217,"March 3, 1930",Oklahoma State University,False,False
Jimmy Darden,1950,1950,G,6-1,170,"June 19, 1922",University of Denver,False,False
Ollie Darden,1968,1970,F-C,6-7,235,"July 28, 1944",University of Michigan,False,False
Yinka Dare,1995,1998,C,7-0,265,"October 10, 1972",George Washington University,False,False
Jesse Dark,1975,1975,G,6-5,210,"September 2, 1951",Virginia Commonwealth University,False,False
Rick Darnell,1976,1976,C-F,6-10,215,"January 1, 1953",San Jose State University,False,False
Jimmy Darrow,1962,1962,G,5-10,170,"September 25, 1937",Bowling Green State University,False,False
Luigi Datome,2014,2015,F,6-8,215,"November 27, 1987",,True,False
Brad Daugherty,1987,1994,C,7-0,245,"October 19, 1965",University of North Carolina,False,False
Mack Daughtry,1971,1971,G,6-3,175,,Albany State University,False,False
Kornel David,1999,2001,F,6-9,235,"October 22, 1971",,False,False
Jermareo Davidson,2008,2009,F,6-10,230,"November 15, 1984",University of Alabama,False,False
Bob Davies,1949,1955,G-F,6-1,175,"January 15, 1920",Seton Hall University,False,True
Brandon Davies,2014,2015,F,6-10,240,"July 25, 1991",Brigham Young University,True,False
Anthony Davis,2013,2016,F-C,6-10,253,"March 11, 1993",University of Kentucky,True,False
Antonio Davis,1994,2006,F-C,6-9,215,"October 31, 1968",University of Texas at El Paso,False,False
Aubrey Davis,1947,1947,G-F,6-2,175,"March 28, 1921",Oklahoma Baptist University,False,False
Baron Davis,2000,2012,G,6-3,209,"April 13, 1979","University of California, Los Angeles",False,False
Ben Davis,1997,2000,F,6-9,240,"December 26, 1972",University of Arizona,False,False
Bill Davis,1947,1947,F,6-3,215,"October 3, 1921",University of Notre Dame,False,False
Bob Davis,1973,1973,F,6-7,215,"April 2, 1950",Weber State University,False,False
Brad Davis,1978,1992,G,6-3,180,"December 17, 1955",University of Maryland,False,False
Brian Davis,1994,1994,F-G,6-7,200,"June 21, 1970",Duke University,False,False
Charles Davis,1982,1990,F,6-7,215,"October 5, 1958",Vanderbilt University,False,False
Charlie Davis,1972,1974,G,6-2,160,"September 7, 1949",Wake Forest University,False,False
Dale Davis,1992,2007,F,6-11,230,"March 25, 1969",Clemson University,False,False
Dwight Davis,1973,1977,F,6-8,220,"October 28, 1949",University of Houston,False,False
Ed Davis,2011,2016,F,6-10,240,"June 5, 1989",University of North Carolina,True,False
Emanual Davis,1997,2003,G,6-4,195,"August 27, 1968",Delaware State University,False,False
Glen Davis,2008,2015,F,6-9,289,"January 1, 1986",Louisiana State University,True,False
Harry Davis,1979,1980,F,6-7,220,"January 27, 1956",Florida State University,False,False
Hubert Davis,1993,2004,G,6-5,183,"May 17, 1970",University of North Carolina,False,False
Jim Davis,1968,1975,C-F,6-9,225,"December 18, 1941",University of Colorado,False,False
Johnny Davis,1977,1986,G,6-2,170,"October 21, 1955",University of Dayton,False,False
Josh Davis,2004,2012,F,6-8,235,"August 10, 1980",University of Wyoming,False,False
Lee Davis,1969,1976,C-F,6-8,235,"October 11, 1945",North Carolina Central University,False,False
Mark Davis,1989,1989,F-G,6-6,195,"June 8, 1963",Old Dominion University,False,False
Mark Davis,1996,2000,G-F,6-7,210,"April 26, 1973",Texas Tech University,False,False
Mel Davis,1974,1977,F,6-6,220,"November 9, 1950",St. John's University,False,False
Mickey Davis,1972,1977,F-G,6-7,195,"June 16, 1950",Duquesne University,False,False
Mike Davis,1970,1973,G,6-3,185,"July 26, 1946",Virginia Union University,False,False
Mike Davis,1983,1983,F,6-10,230,"August 2, 1956",University of Maryland,False,False
Monti Davis,1981,1981,F,6-7,205,"July 26, 1958",Tennessee State University,False,False
Paul Davis,2007,2010,C,6-11,270,"July 21, 1984",Michigan State University,False,False
Ralph Davis,1961,1962,G,6-4,180,"September 7, 1938",University of Cincinnati,False,False
Red Davis,1956,1956,C,6-7,220,"April 22, 1932",St. John's University,False,False
Ricky Davis,1999,2010,G,6-6,195,"September 23, 1979",University of Iowa,False,False
Ron Davis,1977,1982,G-F,6-6,198,"May 1, 1954",Washington State University,False,False
Terry Davis,1990,2001,F-C,6-9,225,"June 17, 1967",Virginia Union University,False,False
Walt Davis,1954,1958,C-F,6-8,205,"January 5, 1931",Texas A&M University,False,False
Walter Davis,1978,1992,G-F,6-6,193,"September 9, 1954",University of North Carolina,False,False
Warren Davis,1968,1973,F-C,6-6,212,"June 30, 1943",North Carolina Agricultural and Technical State University,False,False
Willie Davis,1971,1971,C,6-8,234,"August 9, 1945",University of North Texas,False,False
Andre Dawkins,2015,2015,G,6-5,215,"September 19, 1991",Duke University,True,False
